oid,category,cat_id,trig_id,over_id,sdate,amount,cleared,checknum,desc
1,Groceries,3,16,0,2017-03-14 00:00:00.000,-356,False,1,PURCHASE AUTHORIZED ON 03/13 VONS Store 2029 LANCASTER CA P00387073036007621 CARD 6858
2,Gas,5,4,0,2017-03-14 00:00:00.000,-3010,False,1,PURCHASE AUTHORIZED ON 03/14 CHEVRON 0201268 LANCASTER CA S467073025533260 CARD 6858
3,Entertain,7,53,0,2017-03-14 00:00:00.000,-999,False,1,RECURRING PAYMENT AUTHORIZED ON 03/13 MICROSOFT *XBOXL 800-642-7676 WA S587072361236853 CARD 4129
4,Misc,14,49,0,2017-03-14 00:00:00.000,-1295,False,1,PURCHASE AUTHORIZED ON 03/13 AMAZON MKTPLACE PM AMZN.COM/BILL WA S387072105721771 CARD 4129
5,Misc,14,49,0,2017-03-14 00:00:00.000,-785,False,1,PURCHASE AUTHORIZED ON 03/13 AMAZON MKTPLACE PM AMZN.COM/BILL WA S307072007066297 CARD 4129
6,Medical,10,29,0,2017-03-13 00:00:00.000,-2000,False,1,PURCHASE AUTHORIZED ON 03/13 KP RX01057 LANCASTER CA P00000000336937265 CARD 6858
7,Cash,25,71,0,2017-03-13 00:00:00.000,-10000,False,1,ATM WITHDRAWAL AUTHORIZED ON 03/13 802 W LANCASTER BLVD LANCASTER CA 0006149 ATM ID 9948C CARD 4129
8,FastFood,4,23,0,2017-03-13 00:00:00.000,-2080,False,1,PURCHASE AUTHORIZED ON 03/12 JACK IN THE BOX #3 LANCASTER CA S587071698588873 CARD 6858
9,Home,6,75,0,2017-03-13 00:00:00.000,-5564,False,1,PURCHASE AUTHORIZED ON 03/12 THE HOME DEPOT #6651 LANCASTER CA P00467071668142026 CARD 6858
10,Home,6,75,0,2017-03-13 00:00:00.000,-1464,False,1,PURCHASE AUTHORIZED ON 03/11 THE HOME DEPOT #6651 LANCASTER CA P00307070836714298 CARD 6858
